symbol,exchange,quoteType,rank,fundop_annual_report_expense_ratio,fundop_annual_holdings_turnover,fundop_total_net_assets,market,etf_type,info_market,info_region,info_currency,info_netExpenseRatio,info_totalAssets,info_netAssets,info_fundInceptionDate,info_fundFamily,info_legalType,info_category,info_averageDailyVolume3Month,info_averageVolume,info_threeYearAverageReturn,info_fiveYearAverageReturn,info_ytdReturn,info_fiftyTwoWeekChangePercent
TOK,PCX,etf,20010.0,0.0025,0.03,280491.8,US,index,us_market,US,USD,0.25,228460112.0,228460112.0,1197244800.0,iShares,Exchange Traded Fund,Global Large-Stock Blend,1765.0,1765.0,0.1885981,0.1275111,20.96866,15.647209
IEFA,BTS,etf,20010.0,0.0007,0.03,43578.85,US,index,us_market,US,USD,0.07,162629337088.0,162629337000.0,1350518400.0,iShares,Exchange Traded Fund,Foreign Large Blend,13503143.0,13503143.0,0.16146259,0.096069805,31.83128,26.653278
EMXC,NGM,etf,20008.0,0.0025,0.15,64739.46,US,index,us_market,US,USD,0.25,13657572352.0,13657572400.0,1500336000.0,iShares,Exchange Traded Fund,Diversified Emerging Mkts,1929145.0,1929145.0,0.202066,0.090271704,34.93496,42.746746
IXUS,NGM,etf,20007.0,0.0007,0.03,44181.38,US,index,us_market,US,USD,0.07,51905617920.0,51905618000.0,1350518400.0,iShares,Exchange Traded Fund,Foreign Large Blend,2332916.0,2332916.0,0.1664188,0.0856417,32.62943,29.97259
EIS,PCX,etf,20007.0,0.0058999998,0.08,10229.67,US,index,us_market,US,USD,0.59,604197632.0,604197630.0,1206489600.0,iShares,Exchange Traded Fund,Miscellaneous Region,94578.0,94578.0,0.28245488,0.1480868,45.59084,46.686935
EWU,PCX,etf,20007.0,0.005,0.05,80662.75,US,index,us_market,US,USD,0.5,2839124736.0,2839124740.0,826588800.0,iShares,Exchange Traded Fund,Miscellaneous Region,2071318.0,2071318.0,0.17659281,0.1378251,34.44685,30.476988
MTUM,BTS,etf,20006.0,0.0015,1.16,370849.3,US,index,us_market,US,USD,0.15,20468467712.0,20468467700.0,1366070400.0,iShares,Exchange Traded Fund,Large Blend,832391.0,832391.0,0.2335944,0.0969767,22.10389,13.423264
EWV,PCX,etf,20006.0,0.0095,0.27,0.0,US,commodity,us_market,US,USD,0.95,5571461.0,5571461.0,1194307200.0,ProShares,Exchange Traded Fund,Trading--Inverse Equity,15821.0,15821.0,-0.2667541,-0.1535313,-37.78369,-44.856487
IEMG,PCX,etf,20005.0,0.00090000004,0.06,45037.43,US,index,us_market,US,USD,0.09,120080211968.0,120080212000.0,1350518400.0,iShares,Exchange Traded Fund,Diversified Emerging Mkts,15243023.0,15243023.0,0.167297,0.0481471,32.11908,36.24511
SCZ,NGM,etf,20005.0,0.004,0.18,3215.57,US,index,us_market,US,USD,0.4,12678562816.0,12678562800.0,1197244800.0,iShares,Exchange Traded Fund,Foreign Small/Mid Blend,987503.0,987503.0,0.1416053,0.063732,32.10221,30.162228
EFV,BTS,etf,20005.0,0.0031,0.039,62895.92,US,index,us_market,US,USD,0.31,27667073024.0,27667073000.0,1122854400.0,iShares,Exchange Traded Fund,Foreign Large Value,2942919.0,2942919.0,0.2123285,0.14574291,42.35935,38.326775
ARGT,PCX,etf,20005.0,0.0058999998,0.3202,8367.29,US,index,us_market,US,USD,0.59,757691776.0,757691780.0,1299024000.0,Global X Funds,Exchange Traded Fund,Miscellaneous Region,227109.0,227109.0,0.3655144,0.2796315,12.25668,8.376908
EPHE,PCX,etf,20004.0,0.0058999998,0.21,5910.91,US,index,us_market,US,USD,0.59,113238336.0,113238336.0,1285632000.0,iShares,Exchange Traded Fund,Miscellaneous Region,156396.0,156396.0,-0.009665701,-0.0145277,-0.54078,6.4698696
EPP,PCX,etf,20004.0,0.0047,0.1,47661.34,US,index,us_market,US,USD,0.47,1817591808.0,1817591810.0,1003968000.0,iShares,Exchange Traded Fund,Pacific/Asia ex-Japan Stk,374170.0,374170.0,0.094630405,0.060992498,20.16001,19.731628
EWS,PCX,etf,20004.0,0.005,0.21,32764.95,US,index,us_market,US,USD,0.5,736125632.0,736125630.0,826588800.0,iShares,Exchange Traded Fund,Miscellaneous Region,883921.0,883921.0,0.173069,0.102384396,31.56477,23.56044
USXF,NGM,etf,20004.0,0.001,0.09,243112.23,US,index,us_market,US,USD,0.1,1203846400.0,1203846400.0,1592265600.0,iShares,Exchange Traded Fund,Large Growth,71255.0,71255.0,0.216129,0.13752091,17.13305,12.934292
LABU,PCX,etf,20268.0,0.0093,1.07,5594.04,US,sector,us_market,US,USD,0.93,736269312.0,736269310.0,1432771200.0,Direxion Funds,Exchange Traded Fund,Trading--Leveraged Equity,697386.0,697386.0,0.010387501,-0.4276828,78.72977,82.06181
VXX,BTS,etf,20241.0,0.0089,0.0,0.0,US,commodity,us_market,US,USD,0.89,611138944.0,611138940.0,1516147200.0,iPath,Exchange Traded Fund,Trading--Miscellaneous,9693150.0,9693150.0,-0.46800658,-0.5229727,-42.0796,-35.880554
